Circuit,Fault,Std_Conflicts,GNN_Conflicts,Speedup,Status
s838.1.bench,I753,9,12,0.01,Solved
s838.1.bench,I846,32,153,0.11,Solved
s838.1.bench,P.10,22,17,0.15,Solved
s838.1.bench,I556,115,10,0.22,Solved
s838.1.bench,I404,9,8,0.13,Solved
s838.1.bench,I363,18,16,0.15,Solved
s838.1.bench,I1011,239,155,0.27,Solved
s838.1.bench,P.31,20,19,0.14,Solved
s838.1.bench,I480.4,23,6,0.16,Solved
s838.1.bench,I1127,112,223,0.20,Solved
s838.1.bench,I1122,22,18,0.16,Solved
s838.1.bench,I975,301,132,0.44,Solved
s838.1.bench,I804.3,22,14,0.17,Solved
s838.1.bench,I701,10,33,0.16,Solved
s838.1.bench,I1246,372,91,0.40,Solved
s838.1.bench,I284.3,12,6,0.17,Solved
s838.1.bench,I1202,7,51,0.15,Solved
s838.1.bench,I1194,9,62,0.14,Solved
s838.1.bench,I1111.1,9,74,0.13,Solved
s838.1.bench,I803.3,65,21,0.22,Solved
s820.bench,G224,104,62,0.18,Solved
s820.bench,G194,175,1183,0.21,Fallback
s820.bench,G262,66,50,0.18,Solved
s820.bench,G174,148,21,0.22,Solved
s820.bench,G294,57,1173,0.14,Fallback
s820.bench,G311,16,9,0.13,Solved
s820.bench,G164,10,71,0.11,Solved
s820.bench,G50,154,1197,0.21,Fallback
s820.bench,G129,14,7,0.13,Solved
s820.bench,G212,57,7,0.17,Solved
s820.bench,G147,285,79,0.35,Solved
s820.bench,G246,44,93,0.15,Solved
s820.bench,G100,16,6,0.15,Solved
s820.bench,G306,9,8,0.12,Solved
s820.bench,G274,316,8,0.41,Solved
s820.bench,G216,19,35,0.15,Solved
s820.bench,G294,68,1144,0.18,Fallback
s820.bench,G284,11,1256,0.13,Fallback
s820.bench,G169,193,115,0.29,Solved
s820.bench,G145,58,33,0.18,Solved
s38417.bench,g25847,2947,3257,0.66,Solved
s38417.bench,g27551,1130,6553,0.13,Solved
s38417.bench,g24928,4992,2534,1.68,Solved
s38417.bench,I39065,1176,2328,0.70,Solved
s38417.bench,I24655,11789,21895,0.76,Solved
s38417.bench,g22002,2305,1104,1.52,Solved
s38417.bench,g18875,2465,4158,0.42,Solved
s38417.bench,g8862,1947,1150,1.25,Solved
s38417.bench,g10625,15867,2475,5.92,Solved
s38417.bench,g30376,1949,3483,0.49,Solved
s38417.bench,g30896,3258,3355,1.04,Solved
s38417.bench,g11189,6603,6601,1.11,Solved
s38417.bench,I32871,1956,1075,1.77,Solved
s38417.bench,g29092,5032,2225,1.50,Solved
s38417.bench,g20050,14984,10556,1.30,Solved
s38417.bench,g29732,5114,8749,0.63,Solved
s38417.bench,g27927,3222,1589,1.52,Solved
s38417.bench,g10930,4668,2001,1.15,Solved
s38417.bench,g29088,1253,12942,0.20,Solved
s38417.bench,I16514,5802,121,3.87,Solved
s832.bench,G245,320,127,0.30,Solved
s832.bench,G313,8,16,0.11,Solved
s832.bench,G202,204,1390,0.20,Fallback
s832.bench,G43,9,6,0.10,Solved
s832.bench,G328,4,5,0.11,Solved
s832.bench,G79,21,4,0.14,Solved
s832.bench,G292,7,4,0.14,Solved
s832.bench,G276,48,5,0.15,Solved
s832.bench,G71,6,4,0.18,Solved
s832.bench,G139,6,4,0.13,Solved
s832.bench,G136,263,8,0.37,Solved
s832.bench,G328,4,5,0.17,Solved
s832.bench,G176,37,87,0.16,Solved
s832.bench,G279,78,4,0.21,Solved
s832.bench,G160,137,1142,0.27,Fallback
s832.bench,G206,116,34,0.23,Solved
s832.bench,G48,2,2,0.16,Solved
s832.bench,G104,157,1134,0.25,Fallback
s832.bench,G114,16,16,0.15,Solved
s832.bench,G212,83,32,0.23,Solved
s1423.bench,G530,439,106,0.52,Solved
s1423.bench,G564,9,16,0.13,Solved
s1423.bench,G351,159,110,0.29,Solved
s1423.bench,G121,305,77,0.46,Solved
s1423.bench,G607,83,17,0.22,Solved
s1423.bench,G711,123,189,0.28,Solved
s1423.bench,G209,318,437,0.38,Solved
s1423.bench,G354,307,23,0.48,Solved
s1423.bench,G370,69,118,0.23,Solved
s1423.bench,G681,28,190,0.15,Solved
s1423.bench,G500,20,16,0.19,Solved
s1423.bench,G330,136,97,0.34,Solved
s1423.bench,G412,286,167,0.59,Solved
s1423.bench,G602,200,62,0.63,Solved
s1423.bench,G132,166,159,0.39,Solved
s1423.bench,G521,279,57,0.44,Solved
s1423.bench,G394,116,189,0.39,Solved
s1423.bench,I1239,103,2,0.38,Solved
s1423.bench,G569,97,23,0.48,Solved
s1423.bench,G484,168,442,0.34,Solved
s35932.bench,WX10817,67,55,0.29,Solved
s35932.bench,WX6640,3739,4887,0.73,Solved
s35932.bench,WX1713,954,1340,0.57,Solved
s35932.bench,WX5264,2391,2562,1.45,Solved
s35932.bench,WX11367,12081,227,16.61,Solved
s35932.bench,WX6561,2653,9380,0.15,Solved
s35932.bench,WX2379,8345,9179,0.72,Solved
s35932.bench,WX3043,4089,2965,1.47,Solved
s35932.bench,I14716,14490,13527,0.78,Solved
s35932.bench,WX7580,3104,3546,1.05,Solved
s35932.bench,WX5550,21,27,0.33,Solved
s35932.bench,WX3100,2844,5281,0.45,Solved
s35932.bench,WX9102,2306,2660,0.83,Solved
s35932.bench,WX422,6808,3039,2.22,Solved
s35932.bench,WX4471,1721,4005,0.20,Solved
s35932.bench,I3443,1482,6832,0.11,Solved
s35932.bench,I14259,10228,11928,0.64,Solved
s35932.bench,WX2394,9970,7926,0.95,Solved
s35932.bench,WX8096,1988,8316,0.12,Solved
s35932.bench,WX7376,10134,5215,1.60,Solved
s38584.1.bench,g28246,3022,7103,0.40,Solved
s38584.1.bench,g28312,578,3987,0.06,Solved
s38584.1.bench,g21603,20318,14127,1.14,Solved
s38584.1.bench,I18587,5052,12211,0.68,Solved
s38584.1.bench,g21864,2105,1300,2.67,Solved
s38584.1.bench,g22919,1315,1164,1.20,Solved
s38584.1.bench,g14833,4480,5987,0.78,Solved
s38584.1.bench,I29585,2370,1386,2.43,Solved
s38584.1.bench,g24919,13622,10281,0.97,Solved
s38584.1.bench,g31016,285,1456,0.14,Solved
s38584.1.bench,I15070,4131,114,13.47,Solved
s38584.1.bench,g32586,5804,3798,1.22,Solved
s38584.1.bench,I24396,967,1929,0.25,Solved
s38584.1.bench,g20210,1745,1999,0.75,Solved
s38584.1.bench,g12416,21045,9559,1.65,Solved
s38584.1.bench,g15749,1793,4895,0.33,Solved
s38584.1.bench,I14833,2500,2757,0.83,Solved
s38584.1.bench,I26394,10725,4903,1.51,Solved
s38584.1.bench,g20627,2105,2929,0.73,Solved
s38584.1.bench,g13923,10316,2008,3.58,Solved
s38584.bench,g10675,63,62,0.48,Solved
s38584.bench,g11970,3887,13443,0.40,Solved
s38584.bench,I17754,73,73,0.60,Solved
s38584.bench,g23108,1203,1254,0.78,Solved
s38584.bench,g17722,2095,1045,3.64,Solved
s38584.bench,I13152,63,66,0.53,Solved
s38584.bench,g14453,2041,1711,0.96,Solved
s38584.bench,g25666,263,1985,0.10,Solved
s38584.bench,g24645,2069,1266,2.91,Solved
s38584.bench,g33426,12529,13762,0.75,Solved
s38584.bench,I24690,4226,8830,0.43,Solved
s38584.bench,g33674,4751,5449,0.99,Solved
s38584.bench,g18755,2207,1523,1.94,Solved
s38584.bench,g14489,1088,1239,0.66,Solved
s38584.bench,g19733,113,2003,0.08,Solved
s38584.bench,g18098,3010,1944,1.88,Solved
s38584.bench,g10410,27390,29129,0.72,Fallback
s38584.bench,g30362,1328,1706,0.89,Solved
s38584.bench,g11763,4979,6029,0.78,Solved
s38584.bench,g25414,2630,2593,0.84,Solved
s1488.bench,C105D,44,1087,0.21,Fallback
s1488.bench,I390,443,1184,0.69,Fallback
s1488.bench,I719,95,36,0.26,Solved
s1488.bench,C81D,107,168,0.28,Solved
s1488.bench,I375,108,1049,0.31,Fallback
s1488.bench,I27,112,188,0.30,Solved
s1488.bench,I186,141,99,0.35,Solved
s1488.bench,I692,112,35,0.35,Solved
s1488.bench,C75D,127,9,0.37,Solved
s1488.bench,I555,157,157,0.34,Solved
s1488.bench,I686,134,5,0.42,Solved
s1488.bench,I456,37,33,0.24,Solved
s1488.bench,C195D,243,141,0.47,Solved
s1488.bench,I378,93,73,0.29,Solved
s1488.bench,C217D,127,5,0.33,Solved
s1488.bench,I129,116,3,0.43,Solved
s1488.bench,I222,127,5,0.41,Solved
s1488.bench,C80D,98,1115,0.33,Fallback
s1488.bench,I79,286,260,0.43,Solved
s1488.bench,I109,120,163,0.27,Solved
s15850.1.bench,I7782,3472,3405,1.00,Solved
s15850.1.bench,I4954,5260,1924,2.26,Solved
s15850.1.bench,g5444,273,1628,0.09,Solved
s15850.1.bench,g4003,1140,2747,0.69,Solved
s15850.1.bench,g11009,4472,2485,1.69,Solved
s15850.1.bench,I13002,834,613,1.00,Solved
s15850.1.bench,g8075,298,622,0.46,Solved
s15850.1.bench,g11507,349,901,0.17,Solved
s15850.1.bench,g2185,408,1520,0.23,Solved
s15850.1.bench,g9941,279,5001,0.04,Solved
s15850.1.bench,g7065,509,999,0.60,Solved
s15850.1.bench,g7938,1500,1977,0.64,Solved
s15850.1.bench,I6037,2158,3429,0.78,Solved
s15850.1.bench,I5264,3985,3797,0.75,Solved
s15850.1.bench,g3533,1849,1059,2.84,Solved
s15850.1.bench,I9901,2538,4456,0.75,Solved
s15850.1.bench,I11540,805,254,2.78,Solved
s15850.1.bench,g6581,1195,733,1.16,Solved
s15850.1.bench,g10546,6201,4177,1.10,Solved
s15850.1.bench,g8613,2530,494,6.50,Solved
s9234.bench,I8524,5699,723,3.00,Solved
s9234.bench,I6366,1413,635,1.09,Solved
s9234.bench,g3748,1829,4549,0.61,Solved
s9234.bench,g5699,413,244,1.41,Solved
s9234.bench,g6767,351,495,0.87,Solved
s9234.bench,g2317,6141,7508,0.92,Fallback
s9234.bench,I1961,104,84,0.43,Solved
s9234.bench,g3803,765,26,3.26,Solved
s9234.bench,I2067,2143,2506,0.77,Solved
s9234.bench,g4423,46,459,0.35,Solved
s9234.bench,g2515,1715,4909,0.52,Solved
s9234.bench,g3845,308,334,0.46,Solved
s9234.bench,g6299,181,471,0.50,Solved
s9234.bench,g5535,411,475,0.65,Solved
s9234.bench,g3768,336,284,0.74,Solved
s9234.bench,g6502,577,423,0.84,Solved
s9234.bench,g6481,383,173,0.81,Solved
s9234.bench,I8548,249,388,0.44,Solved
s9234.bench,g4606,5131,4645,1.40,Solved
s9234.bench,g5331,977,410,2.03,Solved
s510.bench,I487,34,21,0.11,Solved
s510.bench,I936_2,155,81,0.23,Solved
s510.bench,I731,5,1,0.08,Solved
s510.bench,I739,44,16,0.12,Solved
s510.bench,I903_2,33,14,0.13,Solved
s510.bench,I551,78,32,0.17,Solved
s510.bench,I495,37,16,0.13,Solved
s510.bench,I270,33,19,0.09,Solved
s510.bench,I962_1,37,11,0.12,Solved
s510.bench,I371,33,7,0.12,Solved
s510.bench,I638,33,15,0.14,Solved
s510.bench,I710,52,13,0.15,Solved
s510.bench,I130,155,32,0.23,Solved
s510.bench,I821,37,37,0.13,Solved
s510.bench,I779,33,20,0.11,Solved
s510.bench,I928_1,33,20,0.14,Solved
s510.bench,I887,33,8,0.11,Solved
s510.bench,I694,33,9,0.13,Solved
s510.bench,I710,52,12,0.17,Solved
s510.bench,I731,5,1,0.12,Solved
s1196.bench,I662,646,539,0.52,Solved
s1196.bench,G511,131,112,0.27,Solved
s1196.bench,G107,554,83,0.68,Solved
s1196.bench,G441,26,26,0.16,Solved
s1196.bench,G209,72,79,0.23,Solved
s1196.bench,G172,68,52,0.20,Solved
s1196.bench,G257,163,200,0.30,Solved
s1196.bench,G250,249,172,0.38,Solved
s1196.bench,G394,165,163,0.33,Solved
s1196.bench,G76,182,157,0.33,Solved
s1196.bench,G311,81,81,0.26,Solved
s1196.bench,G345,1231,724,0.83,Solved
s1196.bench,G500,27,29,0.20,Solved
s1196.bench,G286,182,180,0.31,Solved
s1196.bench,G359,195,281,0.35,Solved
s1196.bench,G548,180,175,0.36,Solved
s1196.bench,G50,122,92,0.30,Solved
s1196.bench,G512,75,75,0.28,Solved
s1196.bench,G119,444,250,0.49,Solved
s1196.bench,G102,847,152,1.00,Solved
s420.1.bench,I420,30,24,0.09,Solved
s420.1.bench,I210,9,2,0.05,Solved
s420.1.bench,I405.4,120,9,0.17,Solved
s420.1.bench,I105.3,9,7,0.08,Solved
s420.1.bench,I167,43,20,0.17,Solved
s420.1.bench,I405.3,139,1104,0.16,Fallback
s420.1.bench,I451,132,44,0.17,Solved
s420.1.bench,I95.1,22,6,0.10,Solved
s420.1.bench,I73.4,9,12,0.07,Solved
s420.1.bench,I269.4,9,13,0.10,Solved
s420.1.bench,I2.3,124,1114,0.17,Fallback
s420.1.bench,I555.2,9,14,0.10,Solved
s420.1.bench,P.5,22,16,0.11,Solved
s420.1.bench,I571,9,18,0.10,Solved
s420.1.bench,P.6,9,18,0.10,Solved
s420.1.bench,I405.3,67,1115,0.16,Fallback
s420.1.bench,P.11,9,10,0.10,Solved
s420.1.bench,I7.1,9,9,0.10,Solved
s420.1.bench,P.2,9,7,0.10,Solved
s420.1.bench,P.3,9,18,0.11,Solved
s382.bench,TCOMB_YA1,20,16,0.08,Solved
s382.bench,TCOMBVNODE3,56,14,0.10,Solved
s382.bench,TCOMBVNQB,47,91,0.10,Solved
s382.bench,TCOMB_GA2VAD1NF,42,57,0.12,Solved
s382.bench,TCOMBVNODE16VOR1NF,52,1213,0.09,Fallback
s382.bench,UC_20,199,32,0.23,Solved
s382.bench,TCOMBVNODE18,156,1199,0.18,Fallback
s382.bench,CLRBVIR1,247,14,0.30,Solved
s382.bench,UC_19VUC_0,21,18,0.08,Solved
s382.bench,C2VCO2,18,29,0.11,Solved
s382.bench,UC_16VZVOR1NF,39,7,0.12,Solved
s382.bench,TESTLVINMUXVOR1NF,52,15,0.14,Solved
s382.bench,CTST,41,38,0.12,Solved
s382.bench,C3_Q2VZ,10,18,0.08,Solved
s382.bench,TCOMBVNODE15,146,15,0.26,Solved
s382.bench,UC_24,292,27,0.36,Solved
s382.bench,UC_16VZ,21,39,0.13,Solved
s382.bench,C3_Q1VUC_0,62,83,0.20,Solved
s382.bench,TCOMBVNQA,25,118,0.12,Solved
s382.bench,OLATCH_Y1L,9,7,0.10,Solved
s526.bench,G159,48,22,0.11,Solved
s526.bench,G87,56,56,0.12,Solved
s526.bench,G188,10,4,0.09,Solved
s526.bench,G36,495,57,0.49,Solved
s526.bench,G149,8,26,0.09,Solved
s526.bench,G44,71,20,0.16,Solved
s526.bench,G158,20,87,0.09,Solved
s526.bench,G31,2,2,0.10,Solved
s526.bench,G208,8,8,0.09,Solved
s526.bench,G141,161,49,0.26,Solved
s526.bench,I368,8,25,0.09,Solved
s526.bench,G185,33,91,0.14,Solved
s526.bench,G87,39,45,0.15,Solved
s526.bench,G91,34,154,0.14,Solved
s526.bench,G112,29,181,0.11,Solved
s526.bench,G54,90,173,0.19,Solved
s526.bench,G56,72,57,0.20,Solved
s526.bench,G53,19,54,0.12,Solved
s526.bench,G126,8,11,0.12,Solved
s526.bench,G178,8,11,0.12,Solved
s13207.bench,g7603,468,674,0.58,Solved
s13207.bench,g6716,864,582,1.75,Solved
s13207.bench,g6363,889,765,0.96,Solved
