Circuit    , Fault, Speedup             , Std_Conf, GNN_Conf
c1355.bench,  1271,  1.0                ,      294,      294
c1355.bench,  1090,  1.0                ,      213,      213
c1355.bench,   404,  1.0                ,        1,        1
c1355.bench,   373,  1.0                ,        2,        2
c1355.bench,   329,  1.0                ,      213,      213
c1355.bench,  1299,  1.0                ,      141,      141
c1355.bench,  1261,  1.0                ,      221,      221
c1355.bench,  1246,  1.0                ,      135,      135
c1355.bench,   733,  1.0                ,        6,        6
c1355.bench,  1111,  1.0                ,      272,      272
c1355.bench,  1105,  1.0                ,      238,      238
c1355.bench,  1252,  1.0                ,      219,      219
c1355.bench,   314,  1.0                ,        5,        5
c1355.bench,   359,  1.0                ,      265,      265
c1355.bench,   960,  1.0                ,      502,      502
c1355.bench,  1096,  1.0                ,      203,      203
c1355.bench,   254,  1.0                ,        1,        1
c1355.bench,   724,  1.0                ,        1,        1
c1355.bench,   320,  1.0                ,       28,       28
c1355.bench,   782,  1.0                ,        1,        1
c17.bench  ,    22,  0.0                ,        0,        0
c17.bench  ,    16,  1.0                ,        3,        3
c17.bench  ,    10,  0.0                ,        0,        0
c17.bench  ,    11,  1.0                ,        6,        6
c17.bench  ,    23,  1.0                ,        4,        4
c17.bench  ,    19,  1.0                ,        9,        9
c17.bench  ,    16,  1.0                ,        3,        3
c17.bench  ,    16,  1.0                ,        3,        3
c17.bench  ,    11,  1.0                ,        6,        6
c17.bench  ,    11,  1.0                ,        6,        6
c17.bench  ,    16,  1.0                ,        3,        3
c17.bench  ,    10,  0.0                ,        0,        0
c17.bench  ,    10,  0.0                ,        0,        0
c17.bench  ,    19,  1.0                ,        9,        9
c17.bench  ,    10,  0.0                ,        0,        0
c17.bench  ,    16,  1.0                ,        3,        3
c17.bench  ,    16,  1.0                ,        3,        3
c17.bench  ,    22,  0.0                ,        0,        0
c17.bench  ,    16,  1.0                ,        3,        3
c17.bench  ,    10,  0.0                ,        0,        0
c1908.bench,   552,  1.0                ,      140,      140
c1908.bench,  2226,  1.0                ,     2645,     2645
c1908.bench,  2630,  1.0                ,      628,      628
c1908.bench,  1358,  1.0                ,      542,      542
c1908.bench,  1968,  1.0                ,      109,      109
c1908.bench,  1225,  1.0                ,      117,      117
c1908.bench,  2670,  1.0                ,     1236,     1236
c1908.bench,  1774,  1.0                ,      210,      210
c1908.bench,   942,  1.0                ,      693,      693
c1908.bench,  2800,  1.0                ,      163,      163
c1908.bench,  2781,  1.0                ,      228,      228
c1908.bench,  1924,  1.0                ,      815,      815
c1908.bench,  2730,  1.0                ,      157,      157
c1908.bench,  1498,  1.0                ,      183,      183
c1908.bench,   367,  1.0                ,      258,      258
c1908.bench,  1216,  1.0                ,      258,      258
c1908.bench,  1155,  1.0                ,     1346,     1346
c1908.bench,  2871,  1.0                ,      108,      108
c1908.bench,  1600,  1.0                ,     1109,     1109
c1908.bench,   676,  1.0                ,      261,      261
c2670.bench,  2675,  1.2027027027027026 ,      534,      444
c2670.bench,  1520,  0.25308641975308643,      287,     1134
c2670.bench,  2400,  3.357873210633947  ,     1642,      489
c2670.bench,  1571,  1.0                ,     1045,     1045
c2670.bench,  3172,  1.0                ,      389,      389
c2670.bench,  2635,  1.0                ,      185,      185
c2670.bench,  3517,  2.9085714285714284 ,     1018,      350
c2670.bench,  3060,  1.0                ,      258,      258
c2670.bench,  2030,  1.0                ,      359,      359
c2670.bench,  3073,  1.0                ,      363,      363
c2670.bench,  3030,  1.0                ,     1325,     1325
c2670.bench,  2319,  1.0                ,      662,      662
c2670.bench,  2568,  1.0                ,      518,      518
c2670.bench,  1487,  1.0                ,      354,      354
c2670.bench,  2070,  2.4847457627118645 ,      733,      295
c2670.bench,   405,  1.0                ,       90,       90
c2670.bench,  2443,  1.0                ,      374,      374
c2670.bench,  2031,  1.0                ,      195,      195
c2670.bench,  3559,  1.0                ,      452,      452
c2670.bench,  3169,  1.0                ,     2167,     2167
c3540.bench,  3000,  3.9277079876748044 ,    16571,     4219
c3540.bench,  4635,  1.0                ,     1865,     1865
c3540.bench,  4901,  1.0                ,       81,       81
c3540.bench,  4126,  0.47995283018867924,     1221,     2544
c3540.bench,  2560,  1.0                ,      518,      518
c3540.bench,  4889,  1.0                ,     5652,     5652
c3540.bench,  3112,  1.0                ,       25,       25
c3540.bench,  5340,  1.0                ,       19,       19
c3540.bench,  5360,  1.0                ,       20,       20
c3540.bench,  1594,  1.0                ,     1350,     1350
c3540.bench,  2644,  1.0                ,      235,      235
c3540.bench,  1408,  1.0                ,     4537,     4537
c3540.bench,   913,  1.0                ,       29,       29
c3540.bench,  3094,  1.0                ,    13107,    13107
c3540.bench,  3326,  1.0                ,     1583,     1583
c3540.bench,  2996,  1.0                ,      204,      204
c3540.bench,  1677,  1.0                ,       89,       89
c3540.bench,  2475,  1.0                ,      569,      569
c3540.bench,  4190,  1.0                ,     1079,     1079
c3540.bench,  5055,  1.0                ,       20,       20
c432.bench ,   291,  1.0                ,       32,       32
c432.bench ,   239,  1.0                ,       30,       30
c432.bench ,   370,  1.0                ,       32,       32
c432.bench ,   333,  1.0                ,       36,       36
c432.bench ,   349,  1.0                ,       33,       33
c432.bench ,   190,  1.0                ,      148,      148
c432.bench ,   260,  1.0                ,       56,       56
c432.bench ,   189,  1.0                ,       43,       43
c432.bench ,   256,  1.0                ,       32,       32
c432.bench ,   407,  1.0                ,       36,       36
c432.bench ,   380,  1.0                ,       34,       34
c432.bench ,   260,  1.0                ,       63,       63
c432.bench ,   418,  1.0                ,       29,       29
c432.bench ,   341,  1.0                ,       33,       33
c432.bench ,   418,  1.0                ,       70,       70
c432.bench ,   334,  1.0                ,       46,       46
c432.bench ,   306,  1.0                ,       44,       44
c432.bench ,   243,  1.0                ,       70,       70
c432.bench ,   189,  1.0                ,      222,      222
c432.bench ,   373,  1.0                ,      294,      294
c499.bench ,   600,  1.0                ,     1747,     1747
c499.bench ,   273,  0.0                ,        0,        0
c499.bench ,   747,  1.0                ,      148,      148
c499.bench ,   262,  0.0                ,        0,        0
c499.bench ,   278,  0.0                ,        0,        0
c499.bench ,   289,  0.0                ,        0,        0
c499.bench ,   714,  1.0                ,      215,      215
c499.bench ,   290,  1.0                ,        1,        1
c499.bench ,   728,  1.0                ,      205,      205
c499.bench ,   582,  1.0                ,      931,      931
c499.bench ,   706,  1.0                ,      303,      303
c499.bench ,   266,  0.0                ,        0,        0
c499.bench ,   572,  1.0                ,      258,      258
c499.bench ,   571,  1.0                ,      832,      832
c499.bench ,   706,  1.0                ,      257,      257
c499.bench ,   593,  1.0                ,      633,      633
c499.bench ,   645,  1.0                ,      227,      227
c499.bench ,   346,  0.0                ,        0,        0
c499.bench ,   695,  1.0                ,      211,      211
c499.bench ,   252,  0.0                ,        0,        0
c5315.bench,  3141,  0.6015037593984962 ,      240,      399
c5315.bench,  7930,  0.5760976570190982 ,     2926,     5079
c5315.bench,  5115,  0.10846560846560846,      123,     1134
c5315.bench,  6159,  7.751655629139073  ,     2341,      302
c5315.bench,  3052,  1.0                ,      158,      158
c5315.bench,  5299,  1.0                ,      114,      114
c5315.bench,  7088,  0.20536153467781604,      835,     4066
c5315.bench,  3700,  1.0                ,      492,      492
c5315.bench,  7245,  0.9798345398138573 ,     1895,     1934
c5315.bench,  1143,  1.0                ,       52,       52
c5315.bench,  5101,  1.0529411764705883 ,      537,      510
c5315.bench,  7685,  1.0                ,      689,      689
c5315.bench,  3806,  1.0                ,       41,       41
c5315.bench,  7718,  1.0                ,      276,      276
c5315.bench,  3017,  1.0                ,     3051,     3051
c5315.bench,  5364,  1.2936507936507937 ,      326,      252
c5315.bench,  7718,  3.6595251881876085 ,     6320,     1727
c5315.bench,  4042,  0.3252361673414305 ,      241,      741
c5315.bench,  3670,  8.490625           ,     2717,      320
c5315.bench,  6599,  0.6407692307692308 ,     2499,     3900
c6288.bench,  2615,  1.0                ,      263,      263
c6288.bench,  6134,  1.0406504065040652 ,      128,      123
c6288.bench,  6058,  1.0                ,      159,      159
c6288.bench,  1008,  1.0                ,      480,      480
c6288.bench,  4161,  1.0                ,      216,      216
c6288.bench,  5694,  1.0                ,      162,      162
c6288.bench,  1239,  1.0                ,      882,      882
c6288.bench,  2151,  1.0                ,       27,       27
c6288.bench,  4526,  1.0                ,       26,       26
c6288.bench,  4005,  1.0                ,       25,       25
c6288.bench,  3339,  1.0                ,      598,      598
c6288.bench,  1621,  1.0                ,      228,      228
c6288.bench,  3350,  1.0                ,      369,      369
c6288.bench,   723,  1.0                ,       33,       33
c6288.bench,  1834,  1.0                ,      170,      170
c6288.bench,  1880,  1.0                ,      583,      583
c6288.bench,  5671,  1.0                ,      119,      119
c6288.bench,  1714,  1.0                ,      717,      717
c6288.bench,  6080,  1.0                ,      211,      211
c6288.bench,  2266,  1.0                ,      355,      355
c7552.bench, 11035,  0.05682859761686526,       62,     1091
c7552.bench,  8131,  1.0                ,     2015,     2015
c7552.bench,   535,  1.0547945205479452 ,       77,       73
c7552.bench,  6242,  1.0                ,      424,      424
c7552.bench, 11302,  1.0                ,       79,       79
c7552.bench,  2398,  1.0                ,       71,       71
c7552.bench,  6108,  1.0                ,       83,       83
c7552.bench,  6890,  1.0                ,       62,       62
c7552.bench,  4823,  1.0                ,       57,       57
c7552.bench,  1879,  1.0                ,       46,       46
c7552.bench,  6174,  0.9726027397260274 ,       71,       73
c7552.bench,  9077, 62.81159420289855   ,     4334,       69
c7552.bench,  8718,  1.0                ,     1337,     1337
c7552.bench,  8410,  1.0                ,      360,      360
c7552.bench,  1815,  1.0                ,     1059,     1059
c7552.bench,  8558,  1.0                ,      562,      562
c7552.bench,  3202,  1.0                ,     1713,     1713
c7552.bench,  4640,  1.0                ,     1235,     1235
c7552.bench,  8283,  1.0                ,      813,      813
c7552.bench,  7563,  1.0                ,      367,      367
c880.bench ,   557,  1.0                ,        5,        5
c880.bench ,   651,  1.0                ,       38,       38
c880.bench ,   743,  1.0                ,      135,      135
c880.bench ,   669,  1.0                ,      106,      106
c880.bench ,   350,  1.0                ,      117,      117
c880.bench ,   463,  1.0                ,      513,      513
c880.bench ,   442,  1.0                ,       19,       19
c880.bench ,   319,  1.0                ,       19,       19
c880.bench ,   528,  1.0                ,       63,       63
c880.bench ,   290,  0.0                ,        0,        0
c880.bench ,   787,  1.0                ,      193,      193
c880.bench ,   762,  1.0                ,       39,       39
c880.bench ,   444,  1.0                ,      278,      278
c880.bench ,   787,  1.0                ,      154,      154
c880.bench ,   427,  1.0                ,       23,       23
c880.bench ,   276,  1.0                ,      172,      172
c880.bench ,   325,  1.0                ,      158,      158
c880.bench ,   860,  1.0                ,       44,       44
c880.bench ,   814,  1.0                ,       41,       41
c880.bench ,   317,  1.0                ,        6,        6
