Circuit,Speedup,Std_Conf,GNN_Conf,Time_Speedup
c499.bench,0.0,0,0,0.007740250886043475
c499.bench,0.0,0,0,0.06868066655061639
c499.bench,1.0,1799,1799,0.5576387360239253
c499.bench,0.0,0,0,0.07125278133639
c499.bench,0.0,0,0,0.07348145128414187
c499.bench,1.0,339,339,0.23272552783109404
c499.bench,1.0,508,508,0.35190518910241275
c499.bench,0.0,0,0,0.06681318681318682
c499.bench,0.0,0,0,0.07746514575411914
c499.bench,1.0,277,277,0.2176655234552113
c499.bench,1.0,161,161,0.16641706936746384
c499.bench,1.0,1331,1331,0.4556184655942003
c499.bench,0.0,0,0,0.08428728765477422
c499.bench,1.0,160,160,0.17518767405254873
c499.bench,0.0,0,0,0.09742072447052137
c499.bench,1.0,300,300,0.2208428524217998
c499.bench,1.0,413,413,0.25232116551565686
c499.bench,1.0,224,224,0.19792829856009403
c499.bench,0.0,0,0,0.09451360073766712
c499.bench,0.0,0,0,0.08972774975653008
c5315.bench,1.1317907444668007,1125,994,0.48411170477405957
c5315.bench,0.36197000555452696,1955,5401,0.3578459138524181
c5315.bench,0.4946695095948827,232,469,0.40837549452221544
c5315.bench,1.0,55,55,0.20988554531922599
c5315.bench,0.6670334507042254,3031,4544,0.6872899606993806
c5315.bench,0.9696969696969697,64,66,0.2805600366690676
c5315.bench,4.275862068965517,1116,261,1.1003168274536328
c5315.bench,5.591317365269461,3735,668,1.821459675520492
c5315.bench,0.17004680187207488,218,1282,0.21223077071402402
c5315.bench,0.330188679245283,315,954,0.3942684942061456
c5315.bench,1.0,733,733,0.5308011975958339
c5315.bench,9.029850746268657,1210,134,1.3184445155367626
c5315.bench,0.10102407971215056,365,3613,0.14411672307269185
c5315.bench,1.3154205607476634,563,428,0.5501045779136396
c5315.bench,1.0,62,62,0.2943334759971578
c5315.bench,0.5901060070671378,334,566,0.2856727112812686
c5315.bench,1.0783956244302644,1183,1097,0.6652591700306204
c5315.bench,0.24556962025316456,388,1580,0.31916337435693376
c5315.bench,1.0173745173745175,527,518,0.5483937205342035
c5315.bench,1.0,439,439,0.4621544813233904
c6288.bench,1.0,235,235,0.20092747183191834
c6288.bench,1.0,306,306,0.2706849315068493
c6288.bench,1.0,287,287,0.2430555289079558
c6288.bench,1.0,120,120,0.19355890081685034
c6288.bench,1.0,246,246,0.22984617739343385
c6288.bench,1.0,185,185,0.21913121732422935
c6288.bench,1.0,247,247,0.2679350133137807
c6288.bench,1.0,133,133,0.2131970477739263
c6288.bench,1.0,290,290,0.23100574800036494
c6288.bench,1.0,515,515,0.3957475537686495
c6288.bench,1.0,436,436,0.3165211623303265
c6288.bench,1.0,218,218,0.2556147238607128
c6288.bench,1.0,27,27,0.1599464030723689
c6288.bench,1.0,535,535,0.37524131198382776
c6288.bench,1.0,1010,1010,0.4772068283503274
c6288.bench,1.0,799,799,0.4951939174912538
c6288.bench,1.0,942,942,0.4774294083674563
c6288.bench,1.0,26,26,0.21455487242903976
c6288.bench,1.0,241,241,0.2987889521803648
c6288.bench,1.0,327,327,0.3202244259780374
c3540.bench,0.8685868586858686,965,1111,0.39684144771581314
c3540.bench,1.0,6785,6785,0.9131597560568391
c3540.bench,1.0,2888,2888,0.708406683499482
c3540.bench,4.660278745644599,5350,1148,2.4606234139470025
c3540.bench,1.0,66,66,0.14081722319859402
c3540.bench,1.0,310,310,0.2672177312785367
c3540.bench,1.0,782,782,0.43671540514373325
c3540.bench,1.0,1260,1260,0.5507200187474369
c3540.bench,1.0,600,600,0.36339374379344586
c3540.bench,1.0,429,429,0.449736823372262
c3540.bench,1.0,500,500,0.39025526674876027
c3540.bench,1.0,550,550,0.3710745620151795
c3540.bench,1.0,1065,1065,0.7137687609553024
c3540.bench,1.0,527,527,0.44992985208179137
c3540.bench,1.0,1737,1737,0.6059997267428323
c3540.bench,1.0,2820,2820,0.7463152172939135
c3540.bench,1.0,351,351,0.3399601854052769
c3540.bench,1.0,3368,3368,0.9271108056907247
c3540.bench,1.0,1765,1765,0.6352347050765237
c3540.bench,1.0,300,300,0.3086019676475064
c432.bench,1.0,79,79,0.08928113294679049
c432.bench,1.0,266,266,0.18885748761590246
c432.bench,1.0,149,149,0.14009476691519754
c432.bench,1.0,154,154,0.128180370633872
c432.bench,1.0,195,195,0.14931374829683294
c432.bench,1.0,11,11,0.05986436836236679
c432.bench,1.0,157,157,0.13633965795966987
c432.bench,1.0,108,108,0.11484417379739968
c432.bench,1.0,211,211,0.19839676214978194
c432.bench,1.0,185,185,0.157898216558404
c432.bench,1.0,390,390,0.25588733711213696
c432.bench,1.0,127,127,0.13363920679107813
c432.bench,1.0,134,134,0.1348331907613345
c432.bench,1.0,160,160,0.1471005423445974
c432.bench,1.0,144,144,0.1374253762717565
c432.bench,1.0,294,294,0.1949538960380991
c432.bench,1.0,199,199,0.17552459997734957
c432.bench,1.0,448,448,0.2862599661082868
c432.bench,1.0,163,163,0.14685112470702827
c432.bench,1.0,110,110,0.1339659597460489
c2670.bench,0.4921235034656585,1562,3174,0.4508306143774124
c2670.bench,0.1484480431848853,110,741,0.3526868153925561
c2670.bench,1.955128205128205,610,312,0.7799528589977335
c2670.bench,1.0,1876,1876,0.7401239453082196
c2670.bench,0.9538365564566438,1529,1603,0.6726955840047036
c2670.bench,0.9662447257383966,1145,1185,0.6864587876676113
c2670.bench,1.0,499,499,0.633039515849473
c2670.bench,1.0,634,634,0.7065338661083342
c2670.bench,1.0,631,631,0.7282953156353069
c2670.bench,1.0,1202,1202,0.775724348791739
c2670.bench,2.4986876640419946,952,381,0.8355063358534768
c2670.bench,1.0,261,261,0.7328631111759374
c2670.bench,1.0,515,515,0.8202007108743605
c2670.bench,1.0,1343,1343,0.796485023679193
c2670.bench,1.0,1797,1797,0.8905997441916033
c2670.bench,1.0,1447,1447,0.8654386996428768
c2670.bench,1.0,271,271,0.8347250560224629
c2670.bench,1.0,476,476,0.7546488758083002
c2670.bench,1.0,1088,1088,0.7627894673084578
c2670.bench,1.0,901,901,0.9630244884628135
c17.bench,1.0,5,5,0.002781783148519147
c17.bench,0.0,0,0,0.007191696859080879
c17.bench,0.0,0,0,0.007536905335335619
c17.bench,1.0,1,1,0.008077867214705714
c17.bench,1.0,5,5,0.008667008667008667
c17.bench,1.0,5,5,0.009184781096050544
c17.bench,1.0,6,6,0.009520342732338365
c17.bench,1.0,1,1,0.008913353264969684
c17.bench,1.0,5,5,0.00972338642078793
c17.bench,0.0,0,0,0.008496129230597244
c17.bench,0.0,0,0,0.009302197952967647
c17.bench,1.0,1,1,0.009304310712761417
c17.bench,1.0,1,1,0.009699510831586303
c17.bench,0.0,0,0,0.009158332396898528
c17.bench,0.0,0,0,0.009702919437230673
c17.bench,1.0,5,5,0.010868334654137892
c17.bench,1.0,5,5,0.010932841118841402
c17.bench,1.0,1,1,0.011572886380480018
c17.bench,0.0,0,0,0.009968010967668228
c17.bench,0.0,0,0,0.010433249943143052
c880.bench,1.0,4,4,0.07621745403523635
c880.bench,1.0,520,520,0.2751211987659762
c880.bench,1.7555555555555555,395,225,0.2573190497897989
c880.bench,1.0,589,589,0.31373830178627077
c880.bench,1.0,37,37,0.10363066475120805
c880.bench,1.0,798,798,0.3612356619175223
c880.bench,1.0,189,189,0.1606253430645063
c880.bench,0.0,0,0,0.09431014853451243
c880.bench,1.0,63,63,0.12443648646932581
c880.bench,1.0,366,366,0.252081780773094
c880.bench,1.0,658,658,0.3683601809787285
c880.bench,1.0,522,522,0.35200211584236973
c880.bench,1.0,435,435,0.3125590179414542
c880.bench,1.0,1128,1128,0.47393025419848456
c880.bench,1.0,364,364,0.29641416916330615
c880.bench,1.0044378698224852,679,676,0.42508655964746617
c880.bench,1.0,108,108,0.16276614032071904
c880.bench,1.0,45,45,0.12877020028701566
c880.bench,1.0,283,283,0.248061081412672
c880.bench,1.0,187,187,0.20415028901734103
c1908.bench,1.0,510,510,0.4340429895042971
c1908.bench,1.0,197,197,0.23116137811347545
c1908.bench,1.0,281,281,0.24877109366068995
c1908.bench,1.0,4217,4217,0.9005731664522166
c1908.bench,1.0,527,527,0.43114794481981983
c1908.bench,1.0,557,557,0.5783884418536545
c1908.bench,1.0,153,153,0.2211606164919418
c1908.bench,1.0,239,239,0.3309971186685801
c1908.bench,1.0,308,308,0.299352370453827
c1908.bench,1.0,190,190,0.2869107537748782
c1908.bench,1.0,303,303,0.3722615617522098
c1908.bench,1.0,453,453,0.4651452726723743
c1908.bench,1.0,971,971,0.4897400062797441
c1908.bench,1.0,660,660,0.4899971715349392
c1908.bench,1.0,494,494,0.45116871661684715
c1908.bench,1.0,2551,2551,0.7211976400802014
c1908.bench,1.0,2902,2902,0.694407929652098
c1908.bench,1.0,189,189,0.27637418200964453
c1908.bench,1.0,498,498,0.39242145022007646
c1908.bench,1.0,189,189,0.2574697024759437
c7552.bench,1.1823423423423423,3281,2775,0.8479137395325684
c7552.bench,1.0,508,508,0.2996517089591502
c7552.bench,1.3247863247863247,155,117,0.2428401878321895
c7552.bench,1.0,1002,1002,0.5493147915627278
c7552.bench,1.0,982,982,0.5833995155742593
c7552.bench,0.25804066543438076,698,2705,0.17013069482126006
c7552.bench,1.0,3272,3272,0.7870348167392954
c7552.bench,1.0,893,893,0.5099798946670097
c7552.bench,1.0,2345,2345,0.6571656879855373
c7552.bench,1.3432231962238705,1992,1483,0.6545768286150584
c7552.bench,2.4575971731448765,2782,1132,1.159642074908923
c7552.bench,1.0,784,784,0.5461630130662923
c7552.bench,0.5722846441947566,764,1335,0.4222084580417578
c7552.bench,0.032341831916902736,274,8472,0.09864418553781883
c7552.bench,1.0,183,183,0.3217284211066479
c7552.bench,1.0,242,242,0.2787003591492829
c7552.bench,1.0,416,416,0.42183620298470936
c7552.bench,1.0,1228,1228,0.503417795190088
c7552.bench,1.0,352,352,0.40620671341319
c7552.bench,1.0,1335,1335,0.9052380192484414
c1355.bench,1.0,296,296,0.21080828349340555
c1355.bench,1.0,128,128,0.1486447099970854
c1355.bench,1.0,65,65,0.1119350479657818
c1355.bench,1.0,213,213,0.18306344571276878
c1355.bench,1.0,349,349,0.2096425482848083
c1355.bench,1.0,295,295,0.24666052286947665
c1355.bench,1.0,247,247,0.20211222775325338
c1355.bench,1.0,132,132,0.16241389670943548
c1355.bench,1.0,147,147,0.18853235705825347
c1355.bench,1.0,74,74,0.1466582054710695
c1355.bench,1.0,186,186,0.1708123151852496
c1355.bench,0.2186046511627907,47,215,0.12461582012293757
c1355.bench,1.0,128,128,0.1795581259881834
c1355.bench,1.0,125,125,0.16882381491668014
c1355.bench,1.0,590,590,0.35935894461201895
c1355.bench,1.0,487,487,0.33458024310683393
c1355.bench,1.0,197,197,0.21958850405868158
c1355.bench,1.0,439,439,0.2825956502764038
c1355.bench,1.0,1,1,0.14439778263060643
c1355.bench,1.0,177,177,0.2900290975765306
